11219,44,127,11,48608,12/07/05,23:40:31,12/07/06,00:30:00,740,85000
11220,44,127,11,8568,12/07/06,00:39:57,12/07/06,00:58:36,740,45000
11223,44,127,11,14824,12/07/06,01:58:40,12/07/06,02:56:04,740,50000
11224,52,109,1201,16421,12/07/06,03:07:05,12/07/06,05:00:02,532,65000
11230,51,109,1201,18516,12/07/06,05:20:17,12/07/06,05:49:38,330,45000
11231,44,127,11,32399,12/07/06,05:53:07,12/07/06,06:31:36,740,65000
11233,31,102,382,9661,12/07/06,06:40:45,12/07/06,06:56:48,586,50000
11234,53,103,302,5832,12/07/06,07:01:58,12/07/06,07:15:57,434,50000
11236,39,118,1256,5634,12/07/06,07:19:09,12/07/06,07:29:45,840,20000
11237,31,102,382,17062,12/07/06,07:32:47,12/07/06,07:53:01,586,50000
11238,53,103,302,13305,12/07/06,07:57:46,12/07/06,08:43:11,434,50000
11243,57,113,1362,6909,12/07/06,10:14:40,12/07/06,11:33:10,696,20000
11246,26,130,1304,22,12/07/06,11:44:45,12/07/06,12:47:47,734,50000
11249,51,109,1201,19686,12/07/06,13:00:49,12/07/06,13:24:50,330,50000
11251,26,130,1304,24659,12/07/06,14:07:04,12/07/06,15:18:29,734,40000
11253,56,106,611,25389,12/07/06,15:22:14,12/07/06,16:02:18,591,50000
11254,51,109,1201,13422,12/07/06,16:12:37,12/07/06,16:29:31,330,50000
11255,23,127,11,51858,12/07/06,16:54:01,12/07/06,17:44:56,705,50000
11259,53,103,302,12465,12/07/06,17:50:52,12/07/06,18:09:20,434,50000
11261,57,101,672,5495,12/07/06,18:48:52,12/07/06,20:10:20,868,20000
11263,51,109,1201,17809,12/07/06,20:30:48,12/07/06,20:52:47,330,30000
11265,31,102,382,27733,12/07/06,21:20:23,12/07/06,21:50:50,586,35000
11270,56,106,611,12488,12/07/06,22:37:13,12/07/06,23:11:51,591,45000
11273,51,109,1201,12483,12/07/06,23:21:19,12/07/06,23:37:29,330,45000
11274,23,127,11,29838,12/07/06,23:41:23,12/07/07,00:16:57,705,65000
11275,34,107,211,43823,12/07/07,00:23:15,12/07/07,01:08:23,13,85000
11278,44,127,11,20643,12/07/07,01:22:56,12/07/07,02:01:19,740,65000
11281,53,103,302,14603,12/07/07,02:23:34,12/07/07,02:44:22,434,65000
11282,44,127,11,36505,12/07/07,02:52:41,12/07/07,03:30:23,740,75000
11283,57,101,672,6445,12/07/07,03:34:47,12/07/07,04:22:20,873,15000
11285,44,127,11,26072,12/07/07,04:33:23,12/07/07,05:24:58,740,65000
11286,36,111,212,15720,12/07/07,06:10:26,12/07/07,06:29:26,822,50000
11288,57,101,672,9662,12/07/07,07:15:51,12/07/07,07:42:19,873,30000
11290,57,105,672,2982,12/07/07,07:49:21,12/07/07,07:58:25,873,30000
11292,51,109,1201,27044,12/07/07,08:07:18,12/07/07,08:38:04,330,50000
11295,57,105,672,18727,12/07/07,09:17:36,12/07/07,10:58:54,873,20000
11298,54,127,11,12049,12/07/07,11:02:55,12/07/07,11:16:57,766,50000
11299,57,116,591,5524,12/07/07,11:38:17,12/07/07,12:18:59,826,20000
11300,57,104,1935,28035,12/07/07,12:22:19,12/07/07,14:49:47,201,50000
11302,53,103,302,7299,12/07/08,22:10:03,12/07/08,22:23:22,434,50000
11303,31,102,382,20221,12/07/08,22:33:15,12/07/08,23:03:29,586,50000
11304,51,109,1201,11977,12/07/08,23:08:28,12/07/08,23:24:49,330,50000
11306,54,127,11,22232,12/07/08,23:30:12,12/07/08,23:56:03,766,50000
11307,56,106,611,19322,12/07/09,00:01:14,12/07/09,00:23:15,591,50000
11309,26,130,1304,15393,12/07/09,00:29:56,12/07/09,01:08:21,734,30000
11311,54,127,11,20890,12/07/09,01:11:30,12/07/09,01:36:37,766,50000
11313,34,107,211,16148,12/07/09,01:40:58,12/07/09,01:59:26,13,50000
11314,36,111,212,8029,12/07/09,02:08:14,12/07/09,02:37:51,822,25000
11315,54,127,11,0,12/07/09,02:38:56,12/07/09,02:37:51,766,500000
11316,54,127,11,20844,12/07/09,02:41:40,12/07/09,03:07:17,766,50000
11317,57,113,1362,13770,12/07/09,03:10:19,12/07/09,03:59:47,810,50000
11320,51,109,1201,24529,12/07/09,04:02:50,12/07/09,04:30:47,330,500000
11323,54,127,11,26471,12/07/09,04:34:14,12/07/09,05:15:23,766,500000
11325,53,103,302,8148,12/07/09,05:25:07,12/07/09,05:41:32,434,20000
11328,57,110,331,20623,12/07/09,06:28:44,12/07/09,07:52:33,876,20000
11332,56,106,611,16236,12/07/09,09:48:23,12/07/09,10:06:11,591,45000
11333,54,127,11,16868,12/07/09,10:52:51,12/07/09,11:13:55,766,65000
11334,31,102,382,13169,12/07/09,11:17:35,12/07/09,11:36:33,586,25000
11335,53,103,302,6279,12/07/09,11:42:09,12/07/09,11:54:17,434,25000
11336,57,115,731,2022,12/07/09,12:07:21,12/07/09,12:32:36,864,12000
11337,57,115,731,4837,12/07/09,12:37:12,12/07/09,13:05:48,878,12000
11338,54,127,11,32283,12/07/09,13:11:34,12/07/09,13:52:24,766,45000
11340,57,101,672,5221,12/07/09,15:02:59,12/07/09,15:28:39,873,12000
11345,34,107,211,27222,12/07/09,18:21:08,12/07/09,18:50:32,13,50000
11347,54,127,11,40714,12/07/09,18:54:26,12/07/09,19:48:18,766,500000
11348,29,114,1211,31107,12/07/09,19:57:23,12/07/09,20:36:34,885,50000
11352,53,103,302,10220,12/07/09,20:41:54,12/07/09,20:58:58,434,50000
11353,34,107,211,26607,12/07/09,21:02:14,12/07/09,21:33:45,13,50000
11355,54,127,11,16605,12/07/09,21:37:33,12/07/09,21:59:09,766,50000
11356,31,102,382,22358,12/07/09,22:02:14,12/07/09,22:29:02,586,50000
11357,36,111,212,59,12/07/09,22:33:32,12/07/09,22:48:44,822,50000
11358,54,127,11,28543,12/07/09,22:52:15,12/07/09,23:28:18,766,500000
11359,29,114,1211,9375,12/07/09,23:39:08,12/07/09,23:52:26,885,50000
11360,56,106,611,16300,12/07/09,23:58:41,12/07/10,00:21:08,591,50000
11363,54,127,11,16635,12/07/10,00:27:18,12/07/10,00:48:03,766,500000
11365,34,107,211,8046,12/07/10,00:54:19,12/07/10,01:12:58,13,50000
11368,31,102,382,7704,12/07/10,01:34:57,12/07/10,01:48:16,586,30000
11369,54,127,11,19562,12/07/10,01:56:25,12/07/10,02:20:59,766,50000
11370,54,127,11,9551,12/07/10,02:25:31,12/07/10,02:37:46,766,50000
11371,51,132,1201,11439,12/07/10,02:41:18,12/07/10,02:57:55,330,50000
11374,54,127,11,25514,12/07/10,03:39:28,12/07/10,04:12:09,766,50000
11375,53,103,302,8748,12/07/10,04:16:46,12/07/10,04:31:17,434,50000
11376,29,114,1211,7919,12/07/10,04:49:26,12/07/10,05:01:05,885,50000
11377,57,113,1362,27163,12/07/10,05:12:47,12/07/10,07:21:44,810,30000
11380,57,116,591,2492,12/07/10,08:05:06,12/07/10,08:42:09,826,15000
11382,57,109,1909,21470,12/07/10,08:46:27,12/07/10,12:19:04,279,35000
11384,54,127,11,34823,12/07/10,12:36:48,12/07/10,13:19:20,766,55000
11386,51,132,1201,19710,12/07/10,13:26:22,12/07/10,13:50:41,330,45000
11393,53,103,302,12606,12/07/10,15:46:23,12/07/10,16:05:10,434,25000
11394,54,127,11,71486,12/07/10,16:08:16,12/07/10,17:36:13,766,85000
11396,56,106,611,16124,12/07/10,17:44:47,12/07/10,18:45:23,591,45000
11399,54,127,11,19041,12/07/10,18:51:12,12/07/10,19:18:11,766,50000
11401,26,130,1304,15243,12/07/10,19:47:51,12/07/10,20:28:18,734,50000
11402,54,127,11,0,12/07/10,20:30:37,12/07/10,20:28:18,766,50000
11403,54,127,11,165,12/07/10,20:31:45,12/07/10,20:45:00,766,50000
11405,23,127,11,46519,12/07/10,20:49:25,12/07/10,21:41:32,705,500000
11406,34,107,211,31588,12/07/10,21:44:34,12/07/10,22:19:43,13,50000
11407,57,108,631,14038,12/07/10,22:30:44,12/07/10,23:28:58,849,20000
